name,diachi,hotline,phiguixe,chiphikhac,hanghoa,danhgia,latitude,longitude
Gaming X Center,"6 P. Viên, Cổ Nhuế, Bắc Từ Liêm, Hà Nội 10000, Việt Nam",373290222,Miễn Phí,9,"Sting, C2, Không độ, nước vải,cơm sườn,….",4,21.07143039,105.773169
Thành Đô Game,"19 Ng. 59 P. Lê Văn Hiến, Đức Thắng, Bắc Từ Liêm, Hà Nội, Việt Nam",399203469,Miễn Phí,8,"Sting, C2, bò húc,  nước vải,cơm gà,….",3,21.07400457,105.7743701
Sky Gaming,"1 Ng. 53 Lê Văn Hiến, Đức Thắng, Bắc Từ Liêm, Hà Nội, Việt Nam",942543333,Miễn Phí,9,"Sting, C2, bò húc,  nước vải,cơm gà,….",5,21.07392585,105.7746043
X Game Gaming Center,"9 Ngõ 87 Lê Văn Hiến, Đức Thắng, Bắc Từ Liêm, Hà Nội, Việt Nam",989179584,Miễn Phí,9,"Sting, C2, bò húc,  nước vải,cơm gà,….",5,21.07437344,105.7733002
Cyber Xanh - AOF,"16 Ngõ 58 Phố Lê Văn Hiến,  Đức Thắng, Bắc Từ Liêm, Hà Nội 100000, Việt Nam",364836305,Miễn Phí,10,"Sting, C2, bò húc,  nước vải,cơm gà,….",4,21.07613231,105.7721915
Game Plus 84,"84 Ngõ 58 Phố Lê Văn Hiến,Đức Thắng, BắcTừ Liêm, Hà Nội, Việt Nam",366536407,Miễn Phí,10,"Sting, C2, bò húc,  nước vải,cơm gà,….",4,21.07543,105.7720886
Start Gaming,"86 Ng. 1 P. Văn Hội,Đức Thắng, Bắc Từ Liêm, Hà Nội 100000, Việt Nam",981889189,Miễn Phí,9,"Sting, C2, bò húc,  nước vải,cơm gà,….",5,21.07671197,105.7729188
X Game,"90 Ng. 1 P. Văn Hội, Đức Thắng, Bắc Từ Liêm, Hà Nội 100000, Việt Nam",962647236,Miễn Phí,8,"Sting, C2, bò húc,  nước vải,cơm gà,….",4,21.07634291,105.7728308
Eco Gaming,"18 Ng. 1 P. Văn Hội, Đức Thắng, Bắc Từ Liêm, Hà Nội 11900, Việt Nam",374831111,Miễn Phí,10,"Sting, C2, bò húc,  nước vải,cơm gà,….",4,21.07766497,105.7754472
Cyber Atom Gaming Center,"14 Ng. 1 P. Văn Hội, Đức Thắng, Bắc Từ Liêm, Hà Nội, Việt Nam",843892222,Miễn Phí,10,"Sting, C2, bò húc,  nước vải,cơm gà,….",3,21.07775257,105.7755833
LEO Gaming,"25b Đ. Đức Thắng,  Bắc Từ Liêm, Hà Nội, Việt Nam",965922976,Miễn Phí,10,"Sting, C2, bò húc,  nước vải,cơm gà,….",5,21.07461484,105.7773401
Teng Game,"2 Hoàng Tăng Bí, Đông Ngạc, Bắc Từ Liêm, Hà Nội 100000, Việt Nam",987192888,Miễn Phí,8,"Sting, C2, bò húc,  nước vải,cơm gà,….",4,21.08387151,105.7778845
Hải Anh,"26 P. Viên, Cổ Nhuế, Từ Liêm, Hà Nội, Việt Nam",386999800,Miễn Phí,7,"Sting, C2, bò húc,  nước vải,cơm gà,….",3,21.07135251,105.7725545
Gaming,"69 P. Viên, Cổ Nhuế, Từ Liêm, Hà Nội, Việt Nam",369136986,Miễn Phí,10,"Sting, C2, bò húc,  nước vải,cơm gà,….",4,21.06922275,105.7724694
Dịch Vụ Trò Chơi Điện Tử,"127B, Sông Nhuệ, Đức Thắng, Quận Bắc Từ Liêm,  Hà Nội,Việt Nam",949937433,Miễn Phí,10,"Sting, C2, bò húc,  nước vải,cơm gà,….",4,21.0767,105.7723
Cyber net,"14 P. Viên, Cổ Nhuế, Bắc Từ Liêm, Hà Nội, Việt Nam",986521984,Miễn Phí,10,"Sting, C2, bò húc,  nước vải,cơm gà,….",4,21.07183135,105.7762437
